Model,Accuracy,Precision,Recall_TPR,F1,ROC_AUC,Avg_Precision,Training_Time_Seconds
MLP Classifier,0.9493333333333334,0.9422572178477691,0.9573333333333334,0.9497354497354498,0.9909759999999999,0.9914460558034253,3.26
KNN Classifier,0.94,0.9187817258883249,0.9653333333333334,0.94148244473342,0.9828693333333333,0.9755443912908438,0.32
Random Forest,0.9213333333333333,0.9072164948453608,0.9386666666666666,0.9226736566186108,0.9766933333333333,0.9758688088108626,5.77
Logistic Regression,0.916,0.9083769633507853,0.9253333333333333,0.916776750330251,0.9811626666666667,0.9819149987230188,0.9
Linear SVM,0.912,0.9076517150395779,0.9173333333333333,0.9124668435013262,0.9756515555555556,0.9764923904128967,1.73
Isolation Forest,0.5693333333333334,0.6428571428571429,0.312,0.42010771992818674,0.6254791111111111,0.6245520668125986,0.47
